Arabic,Transliteration,POS,Frequency,English
مِن,min,preposition,3226,from
ٱللَّه,l-lah,proper noun,2699,God
فِي,fī,preposition,1701,in
إِنّ,ʔinn,accusative particle,1682,that
عَلَىٰ,ʕalā,preposition,1445,on
ٱلَّذِي,llaḏī,relative pronoun,1442,who
لَا,lā,negative particle,1364,no
مَا,mā,relative pronoun,1266,what
إِلَىٰ,ʔilā,preposition,742,to
مَا,mā,negative particle,704,what
مَن,man,relative pronoun,606,from
إِن,ʔin,conditional particle,578,that
أَن,ʔan,subordinating conjunction,578,that
إِلَّا,ʔillā,restriction particle,558,unless
ذَٰلِك,ḏālik,demonstrative pronoun,520,that
عَن,ʕan,preposition,465,on
أَرْض,ʔarḍ,noun,461,land
قَد,qad,particle of certainty,406,may
إِذَا,ʔiḏā,time adverb,405,if
قَوْم,qawm,noun,383,people
ءَايَة,ʔāya,noun,382,verse
أَنّ,ʔann,accusative particle,362,that
كُلّ,kull,noun,358,all
لَم,lam,negative particle,353,did not
ثُمّ,ṯumm,coordinating conjunction,338,then
رَسُول,rasūl,noun,332,messenger
لَا,lā,prohibition particle,327,no
يَوْم,yawm,noun,325,day
عَذَاب,ʕaḏāb,noun,322,torment
هَٰذَا,hāḏā,demonstrative pronoun,317,this
سَمَاء,samāʔ,noun,310,sky
نَفْس,nafs,noun,295,same
شَيْء,šayʔ,noun,283,something
أَو,ʔaw,coordinating conjunction,280,or
كِتَٰب,kitāb,noun,260,books
بَيْن,bayn,location adverb,243,between
حَقّ,ḥaqq,noun,242,right
نَاس,nās,noun,241,people
إِذ,ʔiḏ,time adverb,239,so
قَبْل,qabl,noun,197,before
مُؤْمِن,muʔmin,noun,195,Believer
لَو,law,conditional particle,184,if
مَن,man,conditional particle,184,from
سَبِيل,sabīl,noun,176,way
أَمْر,ʔamr,noun,166,commander
مَع,maʕ,location adverb,159,with
بَعْض,baʕḍ,noun,157,some
لَمَّا,lammā,time adverb,156,when
أَيُّهَا,ʔayyuhā,noun,153,Oh
خَيْر,ḵayr,noun,148,goodness
إِلَٰه,ʔilāh,noun,147,machine
نَار,nār,noun,145,fire
غَيْر,ḡayr,noun,144,not
أَم,ʔam,coordinating conjunction,137,or
مُوسَىٰ,mūsā,proper noun,136,Musa
دُون,dūn,noun,135,Without
آخِر,ʔāḵir,noun,133,last
بَعْد,baʕd,noun,133,after
قَلْب,qalb,noun,132,heart
عَبْد,ʕabd,noun,131,slave
أَهْل,ʔahl,noun,127,People
لَعَلّ,laʕall,accusative particle,123,perhaps
بَل,bal,retraction particle,122,but rather
يَد,yad,noun,120,hand
كَٰفِرُون,kāfirūn,noun,119,disbelievers
إِن,ʔin,negative particle,114,that
رَحْمَة,raḥma,noun,114,mercy
أَجْر,ʔajr,noun,105,reward
ظَالِم,ẓālim,noun,105,unjust
عِلْم,ʕilm,noun,105,science
عَظِيم,ʕaẓīm,adjective,104,great
لَن,lan,negative particle,104,won't
إِلَّا,ʔillā,exceptive particle,102,unless
عَلِيم,ʕalīm,adjective,101,All-Knowing
جَنَّة,janna,noun,96,heaven
حَتَّىٰ,ḥattā,preposition,95,until
هَل,hal,interogative particle,93,Do
دِين,dīn,noun,92,religion
قَوْل,qawl,noun,92,say
مَا,mā,interogative particle,92,what
ذُو,ḏū,noun,90,The one with
مَلَك,malak,noun,88,king
مَثَل,maṯal,noun,87,like
مَال,māl,noun,86,money
هُدًى,hudan,noun,85,Hoda
حَكِيم,ḥakīm,adjective,84,wise
فَضْل,faḍl,noun,84,grace
صَلَوٰة,ṣalawā,noun,83,Prayer
لَيْل,layl,noun,82,night
بُنَىّ,bunāā,noun,80,brown
شَيْطَٰن,šayṭān,proper noun,80,Satan
كَيْف,kayf,interogative particle,80,how
يَوْم,yawm,time adverb,80,day
مَا,mā,subordinating conjunction,79,what
أَصْحَٰب,ʔaṣḥāb,noun,78,companions
أَكْثَر,ʔakṯar,noun,78,more
جَهَنَّم,jahannam,proper noun,77,hell
حَيَوٰة,ḥayawā,noun,76,Life
ذِكْر,ḏikr,noun,76,male
زَوْج,zawj,noun,76,husband
أَخ,ʔaḵ,noun,75,brother
مِثْل,miṯl,noun,75,like
أَحَد,ʔaḥad,noun,74,One
خَٰلِد,ḵālid,noun,74,Khaled
دُنْيَا,dunyā,adjective,74,world
فِرْعَوْن,firʕawn,proper noun,74,pharaoh
